Date,Tweet,ID,Time,Impressions,Engagements,Engagement Rate,Retweets,Replies,Likes,User Profile Clicks,URL Clicks,Hashtag Clicks,Detail Expands,Permalink Clicks,App Opens,App Installs,Follows,Email Tweet,Dial Phone,Media Views,Media Engagements
2020-05-16 22:24:00,Did you hear about #BreakingNews? Crazy stuff!,2480328,22:24:00,29092,5497,0.189,1391,754,1145,484,69,16,244,188,80,35,92,17,0,1891,26
2020-05-28 14:47:00,"I just read an article on #AI, and it's amazing!",5289634,14:47:00,29190,1622,0.0556,1956,837,74,374,198,7,422,388,36,33,83,7,4,639,1491
2020-04-13 07:17:00,#Football is the future! Can't wait to see what happens next.,7261108,07:17:00,48640,5150,0.1059,112,534,815,406,66,152,340,271,25,47,93,3,10,491,2334
2020-01-21 20:40:00,#AI is the future! Can't wait to see what happens next.,6126214,20:40:00,15582,6040,0.3876,1123,16,1199,362,210,167,89,275,34,41,34,12,3,2832,2540
2020-11-22 01:45:00,Just saw something interesting about #Football. Thoughts?,7987772,01:45:00,38166,37894,0.9929,335,801,1093,165,91,4,263,0,31,29,80,4,7,3082,2112
2020-05-14 07:39:00,#Gaming is the future! Can't wait to see what happens next.,5417621,07:39:00,42741,37798,0.8843,832,621,8,259,134,15,591,155,9,15,5,10,2,584,638
2020-06-08 21:03:00,Loving the latest updates on #FoodLover!,8090667,21:03:00,8288,7316,0.8827,1994,639,363,446,161,54,557,132,33,43,50,17,7,191,2038
2020-09-17 19:33:00,"I just read an article on #BreakingNews, and it's amazing!",9726339,19:33:00,18296,7735,0.4228,1855,547,2679,259,295,158,55,388,79,20,22,9,7,2076,1536
2020-01-26 03:04:00,"I just read an article on #Gaming, and it's amazing!",4810042,03:04:00,12599,10263,0.8146,21,236,4986,316,38,75,479,146,48,29,49,18,2,2684,1759
2020-12-09 04:44:00,"I just read an article on #Football, and it's amazing!",6132243,04:44:00,23581,9462,0.4013,1120,552,1112,137,199,93,654,107,98,11,75,3,4,4624,2632
2020-11-11 17:08:00,"I just read an article on #Gaming, and it's amazing!",5170315,17:08:00,23294,8135,0.3492,235,409,3378,170,118,144,505,295,81,34,62,18,2,3524,739
2020-05-23 12:06:00,#Gaming is the future! Can't wait to see what happens next.,9299757,12:06:00,11726,342,0.0292,1241,492,3513,97,236,184,450,179,88,44,34,16,9,1915,273
2020-10-03 06:28:00,"I just read an article on #Football, and it's amazing!",3381355,06:28:00,3714,819,0.2205,1040,888,3387,12,192,93,59,220,16,46,11,10,6,477,439
2020-09-16 12:15:00,Did you hear about #Gaming? Crazy stuff!,2754074,12:15:00,31281,10227,0.3269,891,462,3,214,207,144,95,381,13,44,50,0,2,668,228
2020-06-12 12:17:00,Loving the latest updates on #BreakingNews!,6573346,12:17:00,6099,2708,0.444,492,937,1342,481,146,60,644,215,93,35,25,18,2,4395,1930
2020-03-13 23:28:00,#FoodLover is the future! Can't wait to see what happens next.,3321250,23:28:00,30154,26911,0.8925,632,875,687,154,19,45,249,382,84,23,50,3,2,4899,2666
2020-01-02 12:52:00,"I just read an article on #AI, and it's amazing!",4659561,12:52:00,42631,38164,0.8952,1186,139,4791,16,92,180,475,293,56,36,54,4,2,4701,321
2020-05-09 08:28:00,Just saw something interesting about #FoodLover. Thoughts?,7046871,08:28:00,26658,12329,0.4625,37,201,3029,231,232,64,606,223,98,4,43,12,3,4646,2542
2020-07-14 19:45:00,Just saw something interesting about #BreakingNews. Thoughts?,7277433,19:45:00,26691,11424,0.428,1718,777,3777,280,38,19,129,219,83,29,86,3,6,2651,788
2020-07-01 04:53:00,Loving the latest updates on #Gaming!,3469361,04:53:00,36313,4906,0.1351,150,120,2597,172,137,8,601,86,2,13,12,6,2,1114,321
2020-02-20 13:53:00,Just saw something interesting about #BreakingNews. Thoughts?,8495036,13:53:00,24125,5246,0.2175,1900,679,1712,489,296,120,658,351,13,40,45,7,2,2406,2873
2020-12-01 16:55:00,#Football is the future! Can't wait to see what happens next.,1682688,16:55:00,14983,8382,0.5594,9,457,362,398,219,23,362,213,66,28,97,19,7,4645,2296
2020-01-24 06:28:00,#BreakingNews is the future! Can't wait to see what happens next.,3952977,06:28:00,29999,10910,0.3637,824,313,4465,254,111,171,335,66,34,11,34,2,9,1234,2385
2020-09-18 06:12:00,Loving the latest updates on #BreakingNews!,6248983,06:12:00,12481,1872,0.15,280,505,228,69,46,180,469,79,52,43,14,19,5,154,558
2020-06-10 14:26:00,Did you hear about #BreakingNews? Crazy stuff!,2723674,14:26:00,14209,3212,0.2261,1395,323,4979,480,288,48,654,7,38,41,99,4,4,4792,2909
2020-07-02 07:54:00,Loving the latest updates on #AI!,6326365,07:54:00,40036,33489,0.8365,187,377,4877,117,3,117,325,368,88,48,40,16,4,952,191
2020-02-02 16:50:00,#AI is the future! Can't wait to see what happens next.,7913828,16:50:00,10012,7126,0.7117,1633,688,4224,115,250,135,472,219,86,35,92,17,5,2055,1789
2020-04-08 06:26:00,"I just read an article on #FoodLover, and it's amazing!",1084322,06:26:00,2428,1701,0.7006,1619,975,2810,350,106,76,68,330,27,9,76,2,2,1429,1746
2020-09-12 05:36:00,#FoodLover is the future! Can't wait to see what happens next.,4968419,05:36:00,7980,5514,0.691,310,110,3292,99,176,89,242,79,17,31,40,2,8,3982,315
2020-11-01 02:21:00,Just saw something interesting about #AI. Thoughts?,1240386,02:21:00,43702,15412,0.3527,1417,782,1926,474,48,32,88,400,46,40,54,13,6,199,2502
2020-03-27 12:47:00,Just saw something interesting about #BreakingNews. Thoughts?,4699993,12:47:00,46713,46388,0.993,826,31,2548,406,123,20,221,26,83,24,58,20,2,2628,2622
2020-03-22 20:33:00,"I just read an article on #AI, and it's amazing!",8696241,20:33:00,16821,15799,0.9392,657,735,918,189,32,134,148,345,38,0,5,5,8,1799,711
2020-09-10 20:56:00,Did you hear about #BreakingNews? Crazy stuff!,6406706,20:56:00,15963,12122,0.7594,1373,139,4497,13,165,50,3,56,93,13,44,18,0,3537,2052
2020-11-13 10:02:00,Did you hear about #AI? Crazy stuff!,3590782,10:02:00,48636,43399,0.8923,338,751,911,356,83,113,34,257,73,1,39,13,5,3782,826
2020-01-14 14:06:00,"I just read an article on #Gaming, and it's amazing!",7856002,14:06:00,33796,32290,0.9554,841,617,813,58,295,119,142,182,76,38,58,3,3,4573,1616
2020-08-06 03:07:00,Did you hear about #AI? Crazy stuff!,6530668,03:07:00,35649,26395,0.7404,1475,676,2141,224,72,181,125,48,20,12,12,9,7,4965,1194
2020-02-16 04:25:00,"I just read an article on #FoodLover, and it's amazing!",3546879,04:25:00,37222,389,0.0105,1761,762,41,105,190,145,360,96,18,25,38,9,10,12,2729
2020-02-16 11:05:00,"I just read an article on #AI, and it's amazing!",9993524,11:05:00,16985,11764,0.6926,859,642,674,117,219,40,593,358,74,29,64,7,8,1806,2614
2020-12-10 23:16:00,"I just read an article on #Football, and it's amazing!",7738354,23:16:00,15050,6276,0.417,803,558,3074,35,91,127,571,39,20,21,68,17,3,3128,2514
2020-01-11 20:23:00,#Football is the future! Can't wait to see what happens next.,6343963,20:23:00,20905,5250,0.2511,1739,599,2786,111,228,74,187,312,15,39,17,16,7,413,2145
2020-12-02 18:40:00,Did you hear about #AI? Crazy stuff!,1882808,18:40:00,20777,14690,0.707,1637,191,1629,189,150,134,675,201,64,33,67,15,7,4377,1822
2020-12-18 02:13:00,#Football is the future! Can't wait to see what happens next.,7300087,02:13:00,35322,19108,0.541,404,15,350,191,141,123,2,277,60,25,88,12,0,1479,1685
2020-09-14 02:38:00,Just saw something interesting about #FoodLover. Thoughts?,2149515,02:38:00,26989,7000,0.2594,1975,560,1784,29,74,108,110,144,84,1,81,5,0,3607,2079
2020-05-27 01:15:00,Loving the latest updates on #Football!,4803424,01:15:00,13039,1661,0.1274,967,825,1756,271,184,25,118,136,8,26,32,19,1,1449,873
2020-10-31 22:11:00,Just saw something interesting about #BreakingNews. Thoughts?,7025715,22:11:00,49097,40124,0.8172,910,525,3191,89,189,132,455,176,92,30,56,13,9,424,1870
2020-03-03 05:55:00,Did you hear about #BreakingNews? Crazy stuff!,9658152,05:55:00,28553,10676,0.3739,879,514,588,60,191,41,395,395,94,3,96,16,6,1498,2760
2020-11-06 06:45:00,Loving the latest updates on #AI!,6876065,06:45:00,9851,494,0.0501,971,129,4434,108,142,112,496,179,33,10,81,0,3,405,2945
2020-09-07 23:10:00,Loving the latest updates on #BreakingNews!,2146832,23:10:00,19480,19229,0.9871,1670,608,2310,492,266,86,108,154,32,49,58,11,2,1251,1523
2020-04-19 16:26:00,Loving the latest updates on #Football!,4481013,16:26:00,17074,9985,0.5848,449,836,1801,165,244,176,169,77,34,50,12,2,10,3481,356
2020-12-15 04:07:00,Loving the latest updates on #BreakingNews!,9668533,04:07:00,48055,1127,0.0235,1520,4,461,0,126,101,286,202,81,31,51,10,4,4186,1185
2020-01-27 04:04:00,Loving the latest updates on #FoodLover!,3070774,04:04:00,5192,998,0.1922,517,185,3726,16,134,137,508,352,23,38,55,4,5,809,2440
2020-01-06 18:05:00,#AI is the future! Can't wait to see what happens next.,8180054,18:05:00,17505,16606,0.9486,1769,508,69,269,29,46,666,167,80,7,9,2,2,277,921
2020-08-11 21:27:00,"I just read an article on #BreakingNews, and it's amazing!",4063976,21:27:00,49969,3112,0.0623,1819,909,1395,259,91,39,606,387,28,10,33,8,1,3818,2946
2020-10-15 05:09:00,Loving the latest updates on #FoodLover!,7114489,05:09:00,10034,1193,0.1189,1485,847,1813,24,92,85,217,48,74,44,95,8,2,3475,133
2020-03-10 20:41:00,#Football is the future! Can't wait to see what happens next.,3377213,20:41:00,2711,2088,0.7702,1117,296,4111,238,294,114,501,245,31,15,52,11,0,136,2944
2020-07-14 06:49:00,Loving the latest updates on #Gaming!,2912991,06:49:00,42798,39946,0.9334,15,858,1665,78,138,82,675,120,98,2,50,17,8,3445,250
2020-01-22 22:45:00,#BreakingNews is the future! Can't wait to see what happens next.,8711491,22:45:00,21220,13860,0.6532,351,40,1461,151,84,0,38,271,76,30,69,12,8,2966,2720
2020-07-31 03:21:00,Loving the latest updates on #Football!,7047176,03:21:00,23030,9194,0.3992,912,242,3960,37,174,180,640,201,19,2,92,7,5,2114,2621
2020-02-06 09:18:00,Loving the latest updates on #BreakingNews!,5141359,09:18:00,37133,30599,0.824,1670,268,2761,158,255,149,468,284,50,34,48,0,7,3080,2932
2020-04-23 04:52:00,Did you hear about #FoodLover? Crazy stuff!,7874779,04:52:00,41389,29621,0.7157,1787,28,4274,457,102,86,84,347,14,8,29,16,9,2690,519
2020-01-17 18:50:00,Did you hear about #Football? Crazy stuff!,1563389,18:50:00,10715,8693,0.8113,247,589,1464,308,138,9,166,257,34,31,23,14,10,4256,2622
2020-03-12 18:02:00,#AI is the future! Can't wait to see what happens next.,2251816,18:02:00,38280,1778,0.0464,1525,921,4060,129,169,36,52,300,23,27,3,11,6,1782,1375
2020-03-21 08:20:00,"I just read an article on #AI, and it's amazing!",4881240,08:20:00,38241,9269,0.2424,811,787,2653,331,32,93,419,321,28,32,78,1,3,2614,140
2020-01-01 09:10:00,#Football is the future! Can't wait to see what happens next.,9435658,09:10:00,23893,11126,0.4657,1293,23,1757,158,230,108,516,10,64,14,61,9,7,3012,2234
2020-02-13 09:00:00,Loving the latest updates on #FoodLover!,7970390,09:00:00,8460,3176,0.3754,808,747,2364,218,68,66,214,276,91,21,94,13,7,2152,1045
2020-06-13 15:19:00,"I just read an article on #Gaming, and it's amazing!",3597916,15:19:00,43893,39906,0.9092,1892,837,2880,352,205,148,374,347,92,18,39,19,5,3370,2647
2020-07-13 09:57:00,Loving the latest updates on #Gaming!,7823613,09:57:00,35227,14441,0.4099,1152,171,3541,215,73,34,570,8,24,48,29,10,2,3485,766
2020-06-19 20:08:00,Loving the latest updates on #FoodLover!,2484957,20:08:00,47330,25670,0.5424,1979,628,24,270,236,85,483,180,88,21,14,16,5,2465,1604
2020-11-08 01:29:00,#AI is the future! Can't wait to see what happens next.,9607890,01:29:00,15770,9058,0.5744,649,142,1651,252,170,97,275,332,71,23,84,0,4,3049,2662
2020-10-02 23:03:00,#AI is the future! Can't wait to see what happens next.,6546502,23:03:00,20681,553,0.0267,1850,37,3629,473,6,68,357,71,14,45,69,7,3,1220,1771
2020-06-23 01:33:00,Did you hear about #BreakingNews? Crazy stuff!,5993478,01:33:00,41443,10561,0.2548,1811,636,1503,363,130,142,454,385,90,27,29,5,3,4758,791
2020-11-05 01:02:00,Did you hear about #AI? Crazy stuff!,9953073,01:02:00,45346,44983,0.992,1399,627,4249,359,191,142,597,141,71,15,18,12,1,1945,859
2020-03-09 21:15:00,"I just read an article on #AI, and it's amazing!",6486481,21:15:00,33526,7317,0.2182,1790,686,975,260,44,161,134,21,18,33,53,5,10,2652,1410
2020-12-26 03:26:00,Loving the latest updates on #Gaming!,1216087,03:26:00,7188,3437,0.4782,915,545,4018,72,256,92,161,129,39,46,69,11,0,3259,1165
2020-12-13 03:03:00,"I just read an article on #AI, and it's amazing!",8317510,03:03:00,36809,7120,0.1934,1505,886,367,429,70,49,607,332,36,48,77,15,8,2403,1725
2020-05-20 00:04:00,"I just read an article on #Gaming, and it's amazing!",7672993,00:04:00,9669,4739,0.4901,238,230,396,449,264,24,313,27,6,11,86,15,0,2783,2507
2020-02-04 00:56:00,#Gaming is the future! Can't wait to see what happens next.,9602164,00:56:00,3244,371,0.1144,1849,799,1384,389,202,91,467,372,13,13,13,3,4,1050,598
2020-10-26 00:57:00,Just saw something interesting about #BreakingNews. Thoughts?,3521568,00:57:00,35811,371,0.0104,1162,14,4232,1,96,151,18,228,28,18,57,10,1,985,2135
2020-01-19 08:30:00,Loving the latest updates on #AI!,7466294,08:30:00,23637,3562,0.1507,1253,63,1080,106,139,46,244,128,60,48,89,14,9,1643,1254
2020-07-29 11:59:00,Did you hear about #Football? Crazy stuff!,2398685,11:59:00,43578,14087,0.3233,112,525,3797,21,261,61,430,162,79,39,43,14,6,4315,1824
2020-04-25 18:37:00,#BreakingNews is the future! Can't wait to see what happens next.,3190223,18:37:00,38140,20924,0.5486,713,494,2563,392,11,96,1,366,86,37,2,7,0,1400,575
2020-12-08 03:13:00,Just saw something interesting about #Gaming. Thoughts?,2212559,03:13:00,25980,24736,0.9521,428,720,1357,444,81,177,122,346,16,19,68,0,8,2989,649
2020-09-17 05:24:00,#AI is the future! Can't wait to see what happens next.,2878532,05:24:00,40449,31593,0.7811,1830,725,3645,220,179,122,114,218,29,49,47,0,7,1779,1601
2020-10-06 12:51:00,"I just read an article on #Football, and it's amazing!",6271528,12:51:00,31928,29626,0.9279,1563,847,2659,2,32,6,476,321,70,16,27,17,5,223,1140
2020-12-23 02:42:00,"I just read an article on #BreakingNews, and it's amazing!",5509750,02:42:00,26382,12799,0.4851,1750,579,3467,105,19,9,28,209,51,2,17,18,5,3357,1380
2020-02-12 11:21:00,#BreakingNews is the future! Can't wait to see what happens next.,3244295,11:21:00,21212,10997,0.5184,1261,152,2886,114,89,13,438,29,80,15,37,6,0,3853,2662
2020-03-28 03:39:00,Loving the latest updates on #BreakingNews!,2074603,03:39:00,39856,7785,0.1953,1639,674,1151,432,278,139,286,330,60,23,28,5,4,868,1836
2020-07-13 03:34:00,Just saw something interesting about #AI. Thoughts?,3823372,03:34:00,13124,6786,0.5171,1427,74,2773,375,194,101,320,230,14,11,2,17,9,1721,2326
2020-04-24 08:55:00,Loving the latest updates on #Football!,2501834,08:55:00,24391,13412,0.5499,1576,692,2559,93,98,187,537,254,84,38,69,15,8,3841,1815
2020-10-03 06:19:00,#AI is the future! Can't wait to see what happens next.,2693949,06:19:00,41079,19176,0.4668,1940,435,22,364,205,174,527,16,47,4,83,2,6,2612,2579
2020-04-24 21:18:00,Loving the latest updates on #BreakingNews!,9620274,21:18:00,34480,29430,0.8535,616,559,2333,163,281,69,544,235,4,38,55,7,4,338,128
2020-04-26 23:05:00,"I just read an article on #FoodLover, and it's amazing!",4283770,23:05:00,9236,1936,0.2096,1754,294,3980,465,32,132,367,0,51,6,96,18,5,2687,302
2020-08-06 05:39:00,"I just read an article on #BreakingNews, and it's amazing!",2804394,05:39:00,45156,40314,0.8928,614,750,2774,452,83,136,640,151,95,36,12,19,7,2506,123
2020-02-11 13:13:00,Did you hear about #BreakingNews? Crazy stuff!,3971352,13:13:00,27027,11592,0.4289,51,190,1904,305,73,132,355,94,17,31,55,19,3,3564,1648
2020-07-14 04:37:00,Did you hear about #BreakingNews? Crazy stuff!,6977285,04:37:00,35103,33509,0.9546,908,301,254,351,292,8,674,166,44,49,96,5,6,2301,2922
2020-12-12 00:23:00,"I just read an article on #FoodLover, and it's amazing!",8451463,00:23:00,5037,4179,0.8297,1039,694,2290,410,116,30,41,49,33,9,12,14,2,62,801
2020-11-20 23:19:00,Loving the latest updates on #FoodLover!,6525484,23:19:00,28181,598,0.0212,195,527,1128,327,190,173,687,310,91,30,81,2,0,1707,2098
2020-11-04 22:07:00,"I just read an article on #AI, and it's amazing!",7954441,22:07:00,3902,3685,0.9444,1345,104,4991,6,20,92,281,81,81,19,85,13,5,4902,858
2020-09-03 07:37:00,Did you hear about #AI? Crazy stuff!,3561491,07:37:00,39980,30372,0.7597,1445,568,3567,263,95,174,539,219,47,38,19,10,1,2623,2312
2020-09-26 21:35:00,Loving the latest updates on #Football!,7746752,21:35:00,5442,3281,0.6029,1751,352,4461,397,85,87,316,197,25,4,0,7,2,4868,2172
2020-06-06 21:54:00,Did you hear about #FoodLover? Crazy stuff!,1091533,21:54:00,39304,32153,0.8181,1862,13,2631,257,261,142,694,337,28,31,30,6,3,4885,1677
2020-06-16 00:48:00,Loving the latest updates on #AI!,5800469,00:48:00,15044,6379,0.424,1694,260,4521,178,123,110,511,387,100,3,76,1,4,3964,592
2020-10-11 21:48:00,"I just read an article on #FoodLover, and it's amazing!",8266336,21:48:00,8963,8522,0.9508,277,864,4683,295,260,148,1,79,24,49,99,7,6,3543,1316
2020-04-29 18:14:00,Loving the latest updates on #BreakingNews!,4956457,18:14:00,45837,37742,0.8234,140,889,1417,230,204,187,315,319,6,34,17,13,10,2514,247
2020-03-10 20:27:00,#Football is the future! Can't wait to see what happens next.,8493839,20:27:00,29687,12427,0.4186,383,972,1941,189,212,118,443,162,76,11,58,6,3,1682,432
2020-02-16 22:22:00,Did you hear about #Football? Crazy stuff!,1735595,22:22:00,6741,766,0.1136,1630,980,713,453,245,160,444,99,48,40,64,20,0,382,2949
2020-03-09 23:59:00,#BreakingNews is the future! Can't wait to see what happens next.,6359770,23:59:00,10245,7298,0.7123,641,532,3368,451,112,142,50,258,99,46,94,20,3,2375,2736
2020-12-18 09:09:00,Did you hear about #FoodLover? Crazy stuff!,4381051,09:09:00,1294,621,0.4799,305,153,2885,59,150,9,245,298,0,43,66,16,5,497,1834
2020-08-19 15:20:00,Did you hear about #Gaming? Crazy stuff!,6967325,15:20:00,27329,14054,0.5143,19,79,4193,456,181,188,75,391,23,32,10,8,5,3430,1485
2020-12-27 00:30:00,#Football is the future! Can't wait to see what happens next.,5783159,00:30:00,23465,16758,0.7142,614,709,268,179,3,29,249,227,98,24,72,8,8,4371,1853
2020-11-12 12:03:00,#Football is the future! Can't wait to see what happens next.,8109808,12:03:00,42962,19898,0.4632,610,102,1594,212,107,166,23,63,17,46,50,5,9,4671,2546
2020-07-25 20:08:00,Loving the latest updates on #FoodLover!,1742062,20:08:00,1830,178,0.0973,332,813,112,213,3,76,398,191,11,13,52,1,4,663,2386
2020-09-13 02:46:00,Did you hear about #Football? Crazy stuff!,9669785,02:46:00,29654,1967,0.0663,935,81,4065,212,35,200,288,214,94,17,3,19,5,4188,2031
2020-01-26 21:16:00,Loving the latest updates on #Football!,5317638,21:16:00,9699,7288,0.7514,1059,533,720,158,294,0,369,372,68,8,36,7,5,2264,904
2020-06-06 18:38:00,Just saw something interesting about #BreakingNews. Thoughts?,1441704,18:38:00,45318,26408,0.5827,613,853,3313,495,61,30,662,204,11,48,87,7,6,3090,2478
2020-12-07 02:34:00,"I just read an article on #AI, and it's amazing!",5706870,02:34:00,6332,3065,0.484,758,734,1888,449,160,145,373,312,89,26,59,20,7,909,1067
2020-03-19 12:12:00,"I just read an article on #Football, and it's amazing!",1535178,12:12:00,18062,3684,0.204,1566,301,2261,157,243,34,688,353,54,6,2,8,9,1284,1009
2020-02-27 04:25:00,Just saw something interesting about #Gaming. Thoughts?,8115191,04:25:00,29454,13714,0.4656,469,360,4084,486,140,40,313,216,26,7,99,14,6,2271,1795
2020-04-23 10:58:00,Did you hear about #Football? Crazy stuff!,5943074,10:58:00,3122,1079,0.3456,1714,830,1350,113,223,176,27,10,42,21,80,10,3,3897,2800
2020-10-03 22:25:00,Loving the latest updates on #FoodLover!,9520128,22:25:00,20667,10696,0.5175,827,161,497,130,89,157,600,38,59,26,98,7,8,5,635
2020-11-16 06:54:00,"I just read an article on #BreakingNews, and it's amazing!",8496066,06:54:00,11312,9700,0.8575,1508,207,4249,76,259,54,1,393,86,40,26,13,10,1575,656
2020-07-07 21:47:00,Just saw something interesting about #FoodLover. Thoughts?,6191418,21:47:00,31490,4699,0.1492,1731,900,1586,462,187,24,620,119,99,9,54,16,1,1182,1635
2020-12-14 21:35:00,Just saw something interesting about #Gaming. Thoughts?,2834793,21:35:00,35721,14855,0.4159,1627,637,712,443,45,66,637,221,40,22,37,8,10,3092,1447
2020-05-08 03:22:00,Did you hear about #Gaming? Crazy stuff!,4639119,03:22:00,12999,1647,0.1267,314,292,1875,70,25,37,183,316,57,50,64,15,4,3530,267
2020-08-21 17:36:00,#BreakingNews is the future! Can't wait to see what happens next.,7321588,17:36:00,47368,18100,0.3821,1458,25,533,340,298,132,3,65,89,25,7,2,8,1267,2373
2020-05-28 11:59:00,#Gaming is the future! Can't wait to see what happens next.,4916215,11:59:00,30870,13474,0.4365,1904,314,3221,336,128,6,568,267,33,35,41,9,4,2073,1002
2020-10-14 15:24:00,"I just read an article on #Football, and it's amazing!",8944048,15:24:00,35259,12838,0.3641,1150,546,3265,465,168,139,247,378,24,2,41,4,7,316,1394
2020-04-17 23:37:00,#AI is the future! Can't wait to see what happens next.,2739342,23:37:00,30808,8827,0.2865,131,391,4784,391,258,118,239,305,17,40,2,3,4,3146,842
2020-10-21 11:29:00,"I just read an article on #AI, and it's amazing!",4717536,11:29:00,42926,3379,0.0787,886,343,4699,479,82,6,101,0,1,21,52,1,5,379,728
2020-03-01 18:07:00,Did you hear about #FoodLover? Crazy stuff!,4505075,18:07:00,6017,1894,0.3148,336,257,2166,176,124,104,166,154,2,8,12,20,5,2747,2717
2020-11-19 23:25:00,Did you hear about #BreakingNews? Crazy stuff!,1504710,23:25:00,48827,19703,0.4035,1465,525,4503,142,76,110,73,270,93,0,22,8,0,692,208
2020-06-16 00:01:00,"I just read an article on #FoodLover, and it's amazing!",4922243,00:01:00,13458,12084,0.8979,1575,190,1971,486,45,115,604,218,54,15,30,11,5,3163,318
2020-01-26 00:37:00,#AI is the future! Can't wait to see what happens next.,7159071,00:37:00,44644,42923,0.9615,790,859,316,250,100,101,234,19,73,43,57,14,2,4054,1023
2020-12-19 20:31:00,Did you hear about #BreakingNews? Crazy stuff!,3098607,20:31:00,40057,15645,0.3906,643,141,3763,363,152,76,105,382,3,34,31,13,3,3746,832
2020-09-27 15:04:00,Just saw something interesting about #BreakingNews. Thoughts?,7098573,15:04:00,32710,5300,0.162,1399,339,4292,313,104,121,446,130,21,41,67,12,0,3396,1941
2020-09-25 14:09:00,Did you hear about #BreakingNews? Crazy stuff!,6440322,14:09:00,6472,5490,0.8483,342,728,1594,307,140,74,388,260,24,50,9,5,6,3495,602
2020-02-05 18:12:00,#Football is the future! Can't wait to see what happens next.,5591675,18:12:00,27520,13918,0.5057,1746,772,3594,287,261,149,74,398,87,28,76,17,7,4270,709
2020-02-23 01:26:00,Just saw something interesting about #BreakingNews. Thoughts?,2871158,01:26:00,14591,13653,0.9357,1371,397,4758,20,131,3,515,247,65,27,45,16,8,3133,2685
2020-12-16 18:41:00,Did you hear about #Football? Crazy stuff!,9561638,18:41:00,7183,1547,0.2154,899,883,1146,259,145,151,71,253,36,12,81,2,8,1139,2844
2020-01-18 18:23:00,"I just read an article on #BreakingNews, and it's amazing!",6583620,18:23:00,19070,5072,0.266,655,731,4620,284,47,43,546,202,39,29,17,6,3,99,1750
2020-06-23 08:00:00,Did you hear about #Gaming? Crazy stuff!,3392462,08:00:00,16360,7806,0.4771,316,605,630,463,55,111,34,335,61,21,65,9,7,1726,2008
